    r2             l0-1234         l1-1234         l1-1235         l2-1235         l2-1246         l3-1246          final
1.06511E+000    6.22080E-006    6.22080E-006    6.22080E-006    6.22080E-006    6.22080E-006    6.22080E-006    6.22080E-006
1.07576E+000    6.95495E-006    6.95495E-006    6.95495E-006    6.95495E-006    6.95495E-006    6.95495E-006    6.95495E-006
1.08652E+000    7.76682E-006    7.76682E-006    7.76682E-006    7.76682E-006    7.76682E-006    7.76682E-006    7.76682E-006
1.09738E+000    8.66364E-006    8.66364E-006    8.66364E-006    8.66364E-006    8.66364E-006    8.66364E-006    8.66364E-006
1.10836E+000    9.65321E-006    9.65321E-006    9.65321E-006    9.65321E-006    9.65321E-006    9.65321E-006    9.65321E-006
1.11944E+000    1.07439E-005    1.07439E-005    1.07439E-005    1.07439E-005    1.07439E-005    1.07439E-005    1.07439E-005
1.13064E+000    1.19448E-005    1.19448E-005    1.19448E-005    1.19448E-005    1.19448E-005    1.19448E-005    1.19448E-005
1.14194E+000    1.32655E-005    1.32655E-005    1.32655E-005    1.32655E-005    1.32655E-005    1.32655E-005    1.32655E-005
1.15336E+000    1.47165E-005    1.47165E-005    1.47165E-005    1.47165E-005    1.47165E-005    1.47165E-005    1.47165E-005
1.16489E+000    1.63089E-005    1.63089E-005    1.63089E-005    1.63089E-005    1.63089E-005    1.63089E-005    1.63089E-005
1.17654E+000    1.80547E-005    1.80547E-005    1.80547E-005    1.80547E-005    1.80547E-005    1.80547E-005    1.80547E-005
1.18831E+000    1.99667E-005    1.99667E-005    1.99667E-005    1.99667E-005    1.99667E-005    1.99667E-005    1.99667E-005
1.20019E+000    2.20586E-005    2.20586E-005    2.20586E-005    2.20586E-005    2.20586E-005    2.20586E-005    2.20586E-005
1.21219E+000    2.43448E-005    2.43448E-005    2.43448E-005    2.43448E-005    2.43448E-005    2.43448E-005    2.43448E-005
1.22432E+000    2.68411E-005    2.68411E-005    2.68411E-005    2.68411E-005    2.68411E-005    2.68411E-005    2.68411E-005
1.23656E+000    2.95639E-005    2.95639E-005    2.95639E-005    2.95639E-005    2.95639E-005    2.95639E-005    2.95639E-005
1.24893E+000    3.25310E-005    3.25310E-005    3.25310E-005    3.25310E-005    3.25310E-005    3.25310E-005    3.25310E-005
1.26141E+000    3.57610E-005    3.57610E-005    3.57610E-005    3.57610E-005    3.57610E-005    3.57610E-005    3.57610E-005
1.27403E+000    3.92739E-005    3.92739E-005    3.92739E-005    3.92739E-005    3.92739E-005    3.92739E-005    3.92739E-005
1.28677E+000    4.30909E-005    4.30909E-005    4.30909E-005    4.30909E-005    4.30909E-005    4.30909E-005    4.30909E-005
1.29964E+000    4.72342E-005    4.72342E-005    4.72342E-005    4.72342E-005    4.72342E-005    4.72342E-005    4.72342E-005
1.31263E+000    5.17277E-005    5.17277E-005    5.17277E-005    5.17277E-005    5.17277E-005    5.17277E-005    5.17277E-005
1.32576E+000    5.65964E-005    5.65964E-005    5.65964E-005    5.65964E-005    5.65964E-005    5.65964E-005    5.65964E-005
1.33902E+000    6.18669E-005    6.18669E-005    6.18669E-005    6.18669E-005    6.18669E-005    6.18669E-005    6.18669E-005
1.35241E+000    6.75671E-005    6.75671E-005    6.75671E-005    6.75671E-005    6.75671E-005    6.75671E-005    6.75671E-005
1.36593E+000    7.37265E-005    7.37265E-005    7.37265E-005    7.37265E-005    7.37265E-005    7.37265E-005    7.37265E-005
1.37959E+000    8.03764E-005    8.03764E-005    8.03764E-005    8.03764E-005    8.03764E-005    8.03764E-005    8.03764E-005
1.39339E+000    8.75494E-005    8.75494E-005    8.75494E-005    8.75494E-005    8.75494E-005    8.75494E-005    8.75494E-005
1.40732E+000    9.52800E-005    9.52800E-005    9.52800E-005    9.52800E-005    9.52800E-005    9.52800E-005    9.52800E-005
1.42139E+000    1.03604E-004    1.03604E-004    1.03604E-004    1.03604E-004    1.03604E-004    1.03604E-004    1.03604E-004
1.43561E+000    1.12561E-004    1.12561E-004    1.12561E-004    1.12561E-004    1.12561E-004    1.12561E-004    1.12561E-004
1.44996E+000    1.22189E-004    1.22189E-004    1.22189E-004    1.22189E-004    1.22189E-004    1.22189E-004    1.22189E-004
1.46446E+000    1.32530E-004    1.32530E-004    1.32530E-004    1.32530E-004    1.32530E-004    1.32530E-004    1.32530E-004
1.47911E+000    1.43629E-004    1.43629E-004    1.43629E-004    1.43629E-004    1.43629E-004    1.43629E-004    1.43629E-004
1.49390E+000    1.55531E-004    1.55531E-004    1.55531E-004    1.55531E-004    1.55531E-004    1.55531E-004    1.55531E-004
1.50884E+000    1.68284E-004    1.68284E-004    1.68284E-004    1.68284E-004    1.68284E-004    1.68284E-004    1.68284E-004
1.52393E+000    1.81938E-004    1.81938E-004    1.81938E-004    1.81938E-004    1.81938E-004    1.81938E-004    1.81938E-004
1.53917E+000    1.96545E-004    1.96545E-004    1.96545E-004    1.96545E-004    1.96545E-004    1.96545E-004    1.96545E-004
1.55456E+000    2.12160E-004    2.12160E-004    2.12160E-004    2.12160E-004    2.12160E-004    2.12160E-004    2.12160E-004
1.57010E+000    2.28839E-004    2.28839E-004    2.28839E-004    2.28839E-004    2.28839E-004    2.28839E-004    2.28839E-004
1.58580E+000    2.46641E-004    2.46641E-004    2.46641E-004    2.46641E-004    2.46641E-004    2.46641E-004    2.46641E-004
1.60166E+000    2.65628E-004    2.65628E-004    2.65628E-004    2.65628E-004    2.65628E-004    2.65628E-004    2.65628E-004
1.61768E+000    2.85864E-004    2.85864E-004    2.85864E-004    2.85864E-004    2.85864E-004    2.85864E-004    2.85864E-004
1.63385E+000    3.07414E-004    3.07414E-004    3.07414E-004    3.07414E-004    3.07414E-004    3.07414E-004    3.07414E-004
1.65019E+000    3.30348E-004    3.30348E-004    3.30348E-004    3.30348E-004    3.30348E-004    3.30348E-004    3.30348E-004
1.66670E+000    3.54737E-004    3.54737E-004    3.54737E-004    3.54737E-004    3.54737E-004    3.54737E-004    3.54737E-004
1.68336E+000    3.80654E-004    3.80654E-004    3.80654E-004    3.80654E-004    3.80654E-004    3.80654E-004    3.80654E-004
1.70020E+000    4.08177E-004    4.08177E-004    4.08177E-004    4.08177E-004    4.08177E-004    4.08177E-004    4.08177E-004
1.71720E+000    4.37383E-004    4.37383E-004    4.37383E-004    4.37383E-004    4.37383E-004    4.37383E-004    4.37383E-004
1.73437E+000    4.68356E-004    4.68356E-004    4.68356E-004    4.68356E-004    4.68356E-004    4.68356E-004    4.68356E-004
1.75171E+000    5.01178E-004    5.01178E-004    5.01178E-004    5.01178E-004    5.01178E-004    5.01178E-004    5.01178E-004
1.76923E+000    5.35939E-004    5.35939E-004    5.35939E-004    5.35939E-004    5.35939E-004    5.35939E-004    5.35939E-004
1.78692E+000    5.72727E-004    5.72727E-004    5.72727E-004    5.72727E-004    5.72727E-004    5.72727E-004    5.72727E-004
1.80479E+000    6.11634E-004    6.11634E-004    6.11634E-004    6.11634E-004    6.11634E-004    6.11634E-004    6.11634E-004
1.82284E+000    6.52757E-004    6.52757E-004    6.52757E-004    6.52757E-004    6.52757E-004    6.52757E-004    6.52757E-004
1.84107E+000    6.96194E-004    6.96194E-004    6.96194E-004    6.96194E-004    6.96194E-004    6.96194E-004    6.96194E-004
1.85948E+000    7.42045E-004    7.42045E-004    7.42045E-004    7.42045E-004    7.42045E-004    7.42045E-004    7.42045E-004
1.87807E+000    7.90415E-004    7.90415E-004    7.90415E-004    7.90415E-004    7.90415E-004    7.90415E-004    7.90415E-004
1.89685E+000    8.41409E-004    8.41409E-004    8.41409E-004    8.41409E-004    8.41409E-004    8.41409E-004    8.41409E-004
1.91582E+000    8.95138E-004    7.99697E-005    5.19213E-004    3.66617E-004    2.83744E-004    1.66197E-003    7.99697E-005
1.93498E+000    9.51713E-004    7.31093E-005    5.38544E-004    3.42107E-004    2.53605E-004    1.55252E-003    7.31093E-005
1.95433E+000    1.01125E-003    6.68496E-005    5.59542E-004    3.19502E-004    2.35688E-004    1.44860E-003    6.68496E-005
1.97387E+000    1.07386E-003    6.45784E-005    5.82196E-004    2.98712E-004    2.32324E-004    1.34998E-003    6.45784E-005
1.99361E+000    1.13968E-003    7.04173E-005    6.06499E-004    2.79650E-004    2.39094E-004    1.25643E-003    7.04173E-005
2.01355E+000    1.20881E-003    7.67176E-005    6.32446E-004    2.62234E-004    2.46534E-004    1.16773E-003    7.67176E-005
2.03369E+000    1.28140E-003    8.35102E-005    6.60032E-004    2.46384E-004    2.54616E-004    1.08366E-003    8.35102E-005
2.05402E+000    1.35756E-003    9.08273E-005    6.89253E-004    2.32026E-004    2.72536E-004    1.00401E-003    9.08273E-005
2.07456E+000    1.43743E-003    9.87027E-005    7.20109E-004    2.19090E-004    2.92877E-004    9.28567E-004    9.87027E-005
2.09531E+000    1.52114E-003    1.07172E-004    7.52597E-004    2.07509E-004    3.34564E-004    8.57136E-004    1.07172E-004
2.11626E+000    1.60884E-003    1.16273E-004    7.86719E-004    1.97220E-004    3.75887E-004    7.89517E-004    1.16273E-004
2.13742E+000    1.70064E-003    1.26044E-004    8.22474E-004    1.88163E-004    4.16705E-004    7.25521E-004    1.26044E-004
2.15880E+000    1.79671E-003    1.36527E-004    8.59864E-004    1.80283E-004    4.57086E-004    6.64960E-004    1.36527E-004
2.18039E+000    1.89718E-003    1.47764E-004    8.98890E-004    1.73526E-004    4.97094E-004    6.07656E-004    1.47764E-004
2.20219E+000    2.00220E-003    1.59801E-004    9.39555E-004    1.67844E-004    5.36787E-004    5.53432E-004    1.59801E-004
2.22421E+000    2.11192E-003    1.72683E-004    9.81859E-004    1.63188E-004    5.76218E-004    5.02121E-004    1.72683E-004
2.24645E+000    2.22648E-003    1.86461E-004    1.02581E-003    1.59517E-004    6.15436E-004    4.53557E-004    1.86461E-004
2.26892E+000    2.34605E-003    2.01185E-004    1.07140E-003    1.56788E-004    6.54486E-004    4.07584E-004    2.01185E-004
2.29161E+000    2.47078E-003    2.16908E-004    1.11863E-003    1.55072E-004    6.93408E-004    3.64049E-004    2.16908E-004
2.31452E+000    2.60082E-003    2.33685E-004    1.16751E-003    1.55463E-004    7.32235E-004    3.22805E-004    2.33685E-004
2.33767E+000    2.73634E-003    2.51575E-004    1.21804E-003    1.56641E-004    7.71000E-004    2.83711E-004    2.51575E-004
2.36105E+000    2.87750E-003    2.70637E-004    1.27021E-003    1.58582E-004    8.09727E-004    2.46630E-004    2.70637E-004
2.38466E+000    3.02445E-003    2.90933E-004    1.32403E-003    1.61263E-004    8.48440E-004    2.11434E-004    2.90933E-004
2.40850E+000    3.17737E-003    3.12528E-004    1.37950E-003    1.64663E-004    8.87155E-004    1.77997E-004    3.12528E-004
2.43259E+000    3.33643E-003    3.35489E-004    1.43660E-003    1.68761E-004    9.25888E-004    1.46825E-004    3.35489E-004
2.45691E+000    3.50178E-003    3.59885E-004    1.49534E-003    1.73539E-004    9.64647E-004    1.24597E-004    3.59885E-004
